pnl,book_size,long_count,short_count,turnover,returns,drawdown,margin,fitness,sharpe,alpha_id,expression,concentrated_weight,high_turnover,is_ladder_sharpe,low_fitness,low_sharpe,low_sub_universe_sharpe,low_turnover,matches_competition
7019006,20000000,1243,1429,0.608,0.0714,0.0339,0.000235,0.69,2.02,lQELaO7,"ts_scale( opt4_91_call_vola_delta45, 63 )",PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS
7401114,20000000,1303,1366,0.7134,0.0753,0.0281,0.000211,0.69,2.13,PwxJ5dp,"ts_rank( opt4_91_call_vola_delta45, 63 )",PASS,FAIL,PASS,FAIL,PASS,PASS,PASS,PASS
7133710,20000000,1317,1354,1.0077,0.0726,0.0249,0.000144,0.64,2.37,boJY86m,"ts_rank( opt4_122_call_vola_delta80, 63 )",PASS,FAIL,PASS,FAIL,PASS,PASS,PASS,PASS
6166003,20000000,1279,1390,0.8235,0.0627,0.029,0.000152,0.62,2.24,ObR168g,"ts_scale( opt4_365_call_vola_delta45, 21 )",PASS,FAIL,PASS,FAIL,PASS,PASS,PASS,PASS
6088426,20000000,1258,1415,0.6265,0.0619,0.0316,0.000198,0.61,1.93,R29J5Aj,"ts_scale( opt4_365_call_vola_delta45, 63 )",PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS
6621019,20000000,1299,1370,0.7344,0.0674,0.0281,0.000183,0.61,2.01,MKdjg6z,"ts_rank( opt4_365_call_vola_delta45, 63 )",PASS,FAIL,PASS,FAIL,PASS,PASS,PASS,PASS
6863267,20000000,1220,1454,0.9106,0.0698,0.0338,0.000153,0.6,2.16,edNl6Oz,"ts_scale( opt4_122_call_vola_delta80, 63 )",PASS,FAIL,PASS,FAIL,PASS,PASS,PASS,PASS
6891937,20000000,1300,1372,0.6288,0.0701,0.0354,0.000223,0.59,1.76,edNlaoz,"ts_rank( opt4_91_call_vola_delta45, 126 )",PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS
6151165,20000000,1310,1352,0.9204,0.0626,0.024,0.000136,0.57,2.2,5arZGJJ,"ts_rank( opt4_365_call_vola_delta45, 21 )",PASS,FAIL,PASS,FAIL,PASS,FAIL,PASS,PASS
6969429,20000000,1315,1358,0.9359,0.0709,0.0325,0.000152,0.57,2.08,mrdPYap,"ts_rank( opt4_122_call_vola_delta80, 126 )",PASS,FAIL,PASS,FAIL,PASS,PASS,PASS,PASS
5895496,20000000,1271,1398,0.79,0.06,0.0312,0.000152,0.56,2.02,nZm1vQl,"ts_scale( opt4_91_call_vola_delta45, 21 )",PASS,FAIL,PASS,FAIL,PASS,PASS,PASS,PASS
5613325,20000000,1291,1348,1.1353,0.0571,0.0251,0.000101,0.55,2.44,MKdjYZ6,"ts_scale( opt4_91_call_vola_delta45, 5 )",PASS,FAIL,PASS,FAIL,PASS,PASS,PASS,PASS
6382474,20000000,1301,1371,0.6393,0.0649,0.0377,0.000203,0.54,1.7,LgEP8on,"ts_rank( opt4_365_call_vola_delta45, 126 )",PASS,PASS,FAIL,FAIL,PASS,PASS,PASS,PASS
5875205,20000000,1323,1341,1.1348,0.0598,0.0272,0.000105,0.53,2.32,V2Zvd8Y,"ts_rank( opt4_122_call_vola_delta80, 21 )",PASS,FAIL,PASS,FAIL,PASS,PASS,PASS,PASS
6299770,20000000,1212,1462,0.829,0.0641,0.0509,0.000155,0.51,1.85,ObR1Jod,"ts_scale( opt4_122_call_vola_delta80, 126 )",PASS,FAIL,FAIL,FAIL,PASS,PASS,PASS,PASS
5696995,20000000,1317,1343,0.8854,0.058,0.0326,0.000131,0.5,1.97,3a1M0Z6,"ts_rank( opt4_91_call_vola_delta45, 21 )",PASS,FAIL,PASS,FAIL,PASS,FAIL,PASS,PASS
5689562,20000000,1227,1447,0.5245,0.0579,0.0383,0.000221,0.5,1.5,j9o5aRj,"ts_scale( opt4_91_call_vola_delta45, 126 )",PASS,PASS,PASS,FAIL,FAIL,PASS,PASS,PASS
5120175,20000000,1294,1349,1.1543,0.0521,0.0191,9e-05,0.49,2.32,KXvKV7z,"ts_scale( opt4_365_call_vola_delta45, 5 )",PASS,FAIL,PASS,FAIL,PASS,PASS,PASS,PASS
5254039,20000000,1283,1291,1.2059,0.0535,0.0307,8.9e-05,0.48,2.28,EgNZQWL,"ts_rank( opt4_91_call_vola_delta45, 5 )",PASS,FAIL,PASS,FAIL,PASS,PASS,PASS,PASS
5137961,20000000,1282,1296,1.2255,0.0523,0.0195,8.5e-05,0.48,2.32,1aOqGWJ,"ts_rank( opt4_365_call_vola_delta45, 5 )",PASS,FAIL,PASS,FAIL,PASS,PASS,PASS,PASS
5355651,20000000,1234,1437,1.0541,0.0545,0.0343,0.000103,0.46,2.02,8aVmvza,"ts_scale( opt4_122_call_vola_delta80, 21 )",PASS,FAIL,PASS,FAIL,PASS,FAIL,PASS,PASS
4882198,20000000,1245,1429,0.531,0.0497,0.0363,0.000187,0.44,1.43,Q2O1WYX,"ts_scale( opt4_365_call_vola_delta45, 126 )",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,PASS
